Series ID,Year,Period,Label,Value,12-Month % Change
CUSR0000SETA02,2010,M01,2010 Jan,142.829,12.8
CUSR0000SETA02,2010,M02,2010 Feb,143.173,15.1
CUSR0000SETA02,2010,M03,2010 Mar,142.377,16.5
CUSR0000SETA02,2010,M04,2010 Apr,141.680,16.2
CUSR0000SETA02,2010,M05,2010 May,140.952,15.0
CUSR0000SETA02,2010,M06,2010 Jun,141.951,15.2
CUSR0000SETA02,2010,M07,2010 Jul,142.512,16.0
CUSR0000SETA02,2010,M08,2010 Aug,143.420,14.7
CUSR0000SETA02,2010,M09,2010 Sep,144.032,12.9
CUSR0000SETA02,2010,M10,2010 Oct,144.313,8.9
CUSR0000SETA02,2010,M11,2010 Nov,144.751,6.6
CUSR0000SETA02,2010,M12,2010 Dec,145.669,4.5
CUSR0000SETA02,2011,M01,2011 Jan,146.478,2.6
CUSR0000SETA02,2011,M02,2011 Feb,146.182,2.1
CUSR0000SETA02,2011,M03,2011 Mar,145.646,2.3
CUSR0000SETA02,2011,M04,2011 Apr,145.542,2.7
CUSR0000SETA02,2011,M05,2011 May,146.476,3.9
CUSR0000SETA02,2011,M06,2011 Jun,148.518,4.6
CUSR0000SETA02,2011,M07,2011 Jul,149.971,5.2
CUSR0000SETA02,2011,M08,2011 Aug,151.312,5.5
CUSR0000SETA02,2011,M09,2011 Sep,151.677,5.3
CUSR0000SETA02,2011,M10,2011 Oct,151.986,5.3
CUSR0000SETA02,2011,M11,2011 Nov,152.187,5.1
CUSR0000SETA02,2011,M12,2011 Dec,152.083,4.4
CUSR0000SETA02,2012,M01,2012 Jan,151.106,3.2
CUSR0000SETA02,2012,M02,2012 Feb,149.893,2.5
CUSR0000SETA02,2012,M03,2012 Mar,149.265,2.5
CUSR0000SETA02,2012,M04,2012 Apr,150.053,3.1
CUSR0000SETA02,2012,M05,2012 May,151.587,3.5
CUSR0000SETA02,2012,M06,2012 Jun,152.263,2.5
CUSR0000SETA02,2012,M07,2012 Jul,151.970,1.3
CUSR0000SETA02,2012,M08,2012 Aug,150.871,-0.3
CUSR0000SETA02,2012,M09,2012 Sep,149.647,-1.3
CUSR0000SETA02,2012,M10,2012 Oct,148.986,-2.0
CUSR0000SETA02,2012,M11,2012 Nov,148.932,-2.1
CUSR0000SETA02,2012,M12,2012 Dec,149.243,-1.9
CUSR0000SETA02,2013,M01,2013 Jan,149.741,-0.9
CUSR0000SETA02,2013,M02,2013 Feb,149.789,-0.1
CUSR0000SETA02,2013,M03,2013 Mar,148.912,-0.2
CUSR0000SETA02,2013,M04,2013 Apr,148.577,-1.0
CUSR0000SETA02,2013,M05,2013 May,148.501,-2.0
CUSR0000SETA02,2013,M06,2013 Jun,148.742,-2.3
CUSR0000SETA02,2013,M07,2013 Jul,149.058,-1.9
CUSR0000SETA02,2013,M08,2013 Aug,149.539,-0.9
CUSR0000SETA02,2013,M09,2013 Sep,150.458,0.5
CUSR0000SETA02,2013,M10,2013 Oct,151.248,1.5
CUSR0000SETA02,2013,M11,2013 Nov,151.993,2.1
CUSR0000SETA02,2013,M12,2013 Dec,152.457,2.2
CUSR0000SETA02,2014,M01,2014 Jan,151.535,1.2
CUSR0000SETA02,2014,M02,2014 Feb,150.718,0.6
CUSR0000SETA02,2014,M03,2014 Mar,149.641,0.5
CUSR0000SETA02,2014,M04,2014 Apr,149.217,0.4
CUSR0000SETA02,2014,M05,2014 May,149.006,0.3
CUSR0000SETA02,2014,M06,2014 Jun,148.921,0.1
CUSR0000SETA02,2014,M07,2014 Jul,149.216,0.1
CUSR0000SETA02,2014,M08,2014 Aug,149.472,0.0
CUSR0000SETA02,2014,M09,2014 Sep,149.859,-0.4
CUSR0000SETA02,2014,M10,2014 Oct,148.954,-1.5
CUSR0000SETA02,2014,M11,2014 Nov,147.488,-3.0
CUSR0000SETA02,2014,M12,2014 Dec,145.830,-4.3
CUSR0000SETA02,2015,M01,2015 Jan,144.875,-4.4
CUSR0000SETA02,2015,M02,2015 Feb,147.264,-2.3
CUSR0000SETA02,2015,M03,2015 Mar,147.694,-1.3
CUSR0000SETA02,2015,M04,2015 Apr,148.404,-0.5
CUSR0000SETA02,2015,M05,2015 May,149.290,0.2
CUSR0000SETA02,2015,M06,2015 Jun,149.480,0.4
CUSR0000SETA02,2015,M07,2015 Jul,149.078,-0.1
CUSR0000SETA02,2015,M08,2015 Aug,148.295,-0.8
CUSR0000SETA02,2015,M09,2015 Sep,147.554,-1.5
CUSR0000SETA02,2015,M10,2015 Oct,146.397,-1.7
CUSR0000SETA02,2015,M11,2015 Nov,144.850,-1.8
CUSR0000SETA02,2015,M12,2015 Dec,143.955,-1.3
CUSR0000SETA02,2016,M01,2016 Jan,145.736,0.6
CUSR0000SETA02,2016,M02,2016 Feb,145.832,-1.0
CUSR0000SETA02,2016,M03,2016 Mar,145.357,-1.6
CUSR0000SETA02,2016,M04,2016 Apr,145.131,-2.2
CUSR0000SETA02,2016,M05,2016 May,144.218,-3.4
CUSR0000SETA02,2016,M06,2016 Jun,143.719,-3.9
CUSR0000SETA02,2016,M07,2016 Jul,142.907,-4.1
CUSR0000SETA02,2016,M08,2016 Aug,141.949,-4.3
CUSR0000SETA02,2016,M09,2016 Sep,141.619,-4.0
CUSR0000SETA02,2016,M10,2016 Oct,140.680,-3.9
CUSR0000SETA02,2016,M11,2016 Nov,139.614,-3.6
CUSR0000SETA02,2016,M12,2016 Dec,139.153,-3.3
CUSR0000SETA02,2017,M01,2017 Jan,138.551,-4.9
CUSR0000SETA02,2017,M02,2017 Feb,138.417,-5.1
CUSR0000SETA02,2017,M03,2017 Mar,139.037,-4.3
CUSR0000SETA02,2017,M04,2017 Apr,138.618,-4.5
CUSR0000SETA02,2017,M05,2017 May,138.309,-4.1
CUSR0000SETA02,2017,M06,2017 Jun,137.773,-4.1
CUSR0000SETA02,2017,M07,2017 Jul,137.102,-4.1
CUSR0000SETA02,2017,M08,2017 Aug,136.900,-3.6
CUSR0000SETA02,2017,M09,2017 Sep,135.805,-4.1
CUSR0000SETA02,2017,M10,2017 Oct,137.797,-2.0
CUSR0000SETA02,2017,M11,2017 Nov,138.078,-1.1
CUSR0000SETA02,2017,M12,2017 Dec,137.795,-1.0
CUSR0000SETA02,2018,M01,2018 Jan,137.834,-0.5
CUSR0000SETA02,2018,M02,2018 Feb,137.754,-0.5
CUSR0000SETA02,2018,M03,2018 Mar,137.599,-1.0
CUSR0000SETA02,2018,M04,2018 Apr,137.718,-0.6
CUSR0000SETA02,2018,M05,2018 May,137.703,-0.4
CUSR0000SETA02,2018,M06,2018 Jun,137.987,0.2
CUSR0000SETA02,2018,M07,2018 Jul,138.495,1.0
CUSR0000SETA02,2018,M08,2018 Aug,138.666,1.3
CUSR0000SETA02,2018,M09,2018 Sep,138.374,1.9
CUSR0000SETA02,2018,M10,2018 Oct,138.526,0.5
CUSR0000SETA02,2018,M11,2018 Nov,139.973,1.4
CUSR0000SETA02,2018,M12,2018 Dec,139.670,1.4
CUSR0000SETA02,2019,M01,2019 Jan,139.818,1.4
CUSR0000SETA02,2019,M02,2019 Feb,139.442,1.2
CUSR0000SETA02,2019,M03,2019 Mar,138.545,0.7
CUSR0000SETA02,2019,M04,2019 Apr,139.208,1.1
CUSR0000SETA02,2019,M05,2019 May,138.187,0.4
CUSR0000SETA02,2019,M06,2019 Jun,139.927,1.4
CUSR0000SETA02,2019,M07,2019 Jul,140.455,1.4
CUSR0000SETA02,2019,M08,2019 Aug,141.104,1.8
CUSR0000SETA02,2019,M09,2019 Sep,141.983,2.6
CUSR0000SETA02,2019,M10,2019 Oct,140.254,1.2
CUSR0000SETA02,2019,M11,2019 Nov,139.310,-0.5
CUSR0000SETA02,2019,M12,2019 Dec,138.730,-0.7
CUSR0000SETA02,2020,M01,2020 Jan,137.062,-2.0
CUSR0000SETA02,2020,M02,2020 Feb,137.591,-1.3
CUSR0000SETA02,2020,M03,2020 Mar,138.717,0.1
CUSR0000SETA02,2020,M04,2020 Apr,138.170,-0.7
CUSR0000SETA02,2020,M05,2020 May,137.683,-0.4
CUSR0000SETA02,2020,M06,2020 Jun,136.044,-2.8
CUSR0000SETA02,2020,M07,2020 Jul,139.211,-0.9
CUSR0000SETA02,2020,M08,2020 Aug,146.726,4.0
CUSR0000SETA02,2020,M09,2020 Sep,156.560,10.3
